Station Name,State Name,temp_min,temp_max, bact grow,oxy_min,oxy_max,ph_min,ph_max
YAMUNA AT WAZIRABAD,DELHI,16.7,32.8,1,5.1,13.5,7.2,8
YAMUNA AT NIZAMUDDIN,DELHI,17.1,30.9,0,0.4,2.6,7.1,7.9
"OKHLA BRIDGE (INLET OF
AGRA CANAL)",DELHI,17.3,30.4,0,0.4,1.8,7.1,7.8
"YAMUNA AT OKHLA
A/M OF SHAHDARA DRAIN",DELHI,19.4,31.8,0,0.1,1.6,7,7.9
MAHI AT UMETA BRIDGE,GUJARAT,19,30,1,5.3,9,7.3,8.5
MAHI AT MUJPUR,GUJARAT,27,33,1,6,9,8,8.6
MAHI AT SEVALIA,GUJARAT,24,30,1,7.3,9,7.3,8.5
MAHI AT VASAD,GUJARAT,20,29,1,4.9,9.1,7.3,8.5
"MAHI NEAR RAJASTHAN BORDER
AT KADANA DAM",GUJARAT,29,32,1,6.2,9,7.1,8.5
"MAHI AFTER CONF. WITH ANAS AT
PARDI (BANASWADA)",GUJARAT,30,33,1,5.6,8.9,7.5,8.5
MAHI AT VIRPUR,GUJARAT,28,32,0,3,8.9,7.8,8.3
MAHI AT SHERKHI BRIDGE,GUJARAT,26,31,1,6,9,7.1,8.7
"ANAS AT
DAHOD,(KUSHALGARH),DIST.
PANCHMAHAL",GUJARAT,30,32,0,3.8,8.9,7.6,8.5
PANAM AT LUNAWADA,GUJARAT,28,32,1,5.6,9,7,8.1
"VISHWAMITRI DOWNSTREAM AT
KHALIPUR VILLAG",GUJARAT,26,30,0,0.8,2.2,7.8,8.3
"VISHWAMITRI, UPSTREAM AT
ASOD BRIDGE AT NH-8 NEAR
GLDEN CHOKDI, ASOD VEMALI
ROAD",GUJARAT,26,30,1,4.9,9.2,7.7,8.9
SABARMATI AT DHAROI DAM,GUJARAT,27,33,1,5.5,8.04,7.5,8
"SABARMATI AT AHMEDABAD AT
V.N. BRIDGE",GUJARAT,25,29,0,1.2,7.32,7.4,8.5
SABARMATI AT KHEROJ BRIDGE,GUJARAT,25,27,0,4.1,7.7,7.4,8.4
"SABARMATI A/C WITH MESHWA
AT VAUTHA NEAR DHOKLA",GUJARAT,26,30,0,1.1,7.2,7.9,8.5
"SABARMATI AT GANDHI NAGAR
CHILODA BRIDGE,LEKAWADA",GUJARAT,28,32,1,5,8.2,7.4,8.8
"SABARMATI AT VILL. MIROLI
TALUKA DASCROI,AHMEDABAD",GUJARAT,28,33,1,7.1,7.1,8,8.4
"SABARMATI AT RAILWAY BRIDGE
AHMEDABAD",GUJARAT,25,28,0,3.4,7.2,7.8,8.4
"SABARMATI AT MAHUDI JAIN
TEMPLE, 150 KM. FORM ORIGIN",GUJARAT,27,29,0,4,8.8,7.3,8.3
SABARMATI AT HANSAOL BRIDGE,GUJARAT,25,28,0,4.3,7.6,8,8
"MESHWA NEAR RAJASTHAN
BORDER AT SAMLAJI",GUJARAT,27,27,1,6.6,6.6,7.3,8.1
SHEDHI AT KHEDA,GUJARAT,25,32,0,1.2,9,7.7,8.4
NARMADA AT GARUDESHWAR,GUJARAT,26,30,1,7.1,7.95,7.1,8.5
NARMADA AT CHANDOD,GUJARAT,25,30,1,5.8,8.5,7,8.4
NARMADA AT PANETHA,GUJARAT,26,32,1,7,8.2,7.5,8.3
"NARMADA AT ZANOR (NTPC),
BHARUCH",GUJARAT,23,30,1,6.7,7.7,7.5,8.4
"NARMADA AT
BHARUCH,ZADESHVAR",GUJARAT,26,30,1,6.5,7.5,7.5,8.6
"TAPI AT UKAI, SHERULA BRIDGE",GUJARAT,26,32,1,7.9,8,7.7,8.5
TAPI AT MANDAVI,GUJARAT,24,31,0,2.4,8.8,7.5,8.5
"TAPI AT KATHORE, (NH-8 BRIDGE)",GUJARAT,22,38,0,3.9,6.2,7.2,8.3
TAPI U/S SURAT KATHORE,GUJARAT,23,31,1,5.2,7.8,7.5,8.3
"TAPI AT RANDER BRIDGE, SURAT",GUJARAT,24,31,1,4.8,7.6,7.6,8.4
"TAPI NEAR BARDOLI (KAPP
BRIDGE) BARDOLI",GUJARAT,25,31,1,5.6,8,7.2,7.8
"TAPI AT ONGC BRIDGE AT SURAT,
DIST. SURAT",GUJARAT,24,30,0,2.6,4.3,7.5,8.1
"KIM AT SAHOL BRIDGE, OLPAD
HANSOT ROAD, DIST",GUJARAT,27,31,1,4,8,7.3,8.4
"AMRAVATI AT VILLAGE DADHAL ,
TA ANKLESHWAR, BHARUC",GUJARAT,26,32,1,4.1,8.8,7.3,7.8
YAMUNA AT HATHNIKUND,HARYANA,22,22,1,8.2,10.7,7.3,7.8
"YAMUNA AT KALANAUR,
YAMUNA NAGAR",HARYANA,23,23,1,7.6,8.2,7.3,7.9
YAMUNA AT SONEPAT,HARYANA,26,26,1,6.4,12.5,7.8,8.5
BEAS U/S MANALI,HIMACHAL PRADESH,25,31,1,5.5,8,7,8.4
BEAS D/S MANALI,HIMACHAL PRADESH,5,19,0,7.6,10.1,6.8,8.3
BEAS U/S KULLU,HIMACHAL PRADESH,5,20,0,7.7,9.6,6.9,8.3
BEAS D/S AUT,HIMACHAL PRADESH,23,29,0,2.5,6.82,7.3,7.8
"BEAS EXIT OF TUNNEL
DEHAL POWER HOUSE",HIMACHAL PRADESH,24,31,1,6,7.6,7.2,8.1
BEAS U/S MANDI,HIMACHAL PRADESH,10,24,1,7.6,11.5,7.2,8.2
BEAS D/S MANDI,HIMACHAL PRADESH,10,26,1,7.5,11.6,7,8.6
BEAS D/S JAISINGHPUR,HIMACHAL PRADESH,13,19,0,7.5,8.7,6.7,8.7
BEAS D/S ALAMPUR,HIMACHAL PRADESH,15,20,1,7.1,8.4,7.4,8.5
BEAS D/S PONG DAM,HIMACHAL PRADESH,14,20,0,6.7,8.7,6.5,8.3
BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,10,20,1,7.7,12.8,7.6,8.6
YAMUNA U/S PAONTA SAHIB,HIMACHAL PRADESH,13,29,1,6.2,8.2,7.6,8.6
YAMUNA D/S PAONTA SAHIB,HIMACHAL PRADESH,14,29,1,6.2,8.2,7,8
"SATLUJ B/C WITH SPITI AT KHAB,
DISTT.KINNAUR,","HIMACHAL
PRADESH",9,12,0,9.5,10.1,6.2,8.1
SATLUJ AT KHAB,"HIMACHAL
PRADESH",9,12,1,9.6,10.1,7,8
SATLUJ U/S RAMPUR,"HIMACHAL
PRADESH",14,16,0,8.7,9.2,6.5,8
SATLUJ D/S RAMPUR,"HIMACHAL
PRADESH",14,16,0,8.6,9.3,6,8.5
SATLUJ U/S TATAPANI,"HIMACHAL
PRADESH",15,18,0,8.4,9.1,6.6,8.7
SATLUJ U/S SLAPPER,"HIMACHAL
PRADESH",9.9,24,1,8,9.8,7.1,8.5
SATLUJ D/S SLAPPER,"HIMACHAL
PRADESH",9.9,22,1,8.5,9.7,7.1,8.3
SATLUJ D/S BHAKHRA,"HIMACHAL
PRADESH",8,28,0,5.9,7.6,6.7,8.1
SATLUJ AT NEPTHA ZAKHAI,"HIMACHAL
PRADESH",12,14,1,9.1,9.6,7,8.4
RAVI U/S MADHOPUR,"HIMACHAL
PRADESH",9,20,1,6.2,8.7,7.1,8.1
RAVI U/S CHAMBA,"HIMACHAL
PRADESH",8,14,1,8.6,8.7,7.2,8.2
RAVI AT CHAMERA RESERVOIR,"HIMACHAL
PRADESH",8.9,16,1,8.4,8.8,7.3,8.1
RAVI D/S CHAMERA III HEP,"HIMACHAL
PRADESH",7.6,14,1,8.4,8.8,7.2,7.9
RAVID/S OF CHAMBA TOWN,"HIMACHAL
PRADESH",8,14,0,8.5,8.8,6.8,8.4
PARVATI B/C TO BEAS,"HIMACHAL
PRADESH",5,19,0,7.8,10.1,6.4,8.4
PARVATI U/S MANIKARAN,"HIMACHAL
PRADESH",4,18,0,7.9,10.5,6.8,8.2
PARVATI D/S MANIKARAN,"HIMACHAL
PRADESH",4,18,0,7.9,10.4,4.2,8.3
LARGI AT D/S MANDI,"HIMACHAL
PRADESH",7,20,1,7.6,9.8,7,8.4
"SIRSA , U/S SITOMAJRI
NALLAHGARH","HIMACHAL
PRADESH",11,27,1,5.2,9.2,7.3,8.8
"SIRSA , D/S NALAGARH BRIDGE","HIMACHAL
PRADESH",12,32,1,4.1,8.5,7.3,8.6
"SIRSA D/S NALAGARH DISTT.
SOLAN","HIMACHAL
PRADESH",12,31,1,4.3,8.8,7.4,8.5
SWAN D/S NANGAL DISTT. UNA,"HIMACHAL
PRADESH",10,31,1,5,6.7,7.2,8.3
SIUEL D/S SURGANI,"HIMACHAL
PRADESH",7.6,19,1,8.6,8.8,7.1,8.1
SUKETI KHAD D/S MANDI,"HIMACHAL
PRADESH",13,27,0,6.7,11.7,6.8,8
BINWA D/S PAPROLA/BAIJNATH,"HIMACHAL
PRADESH",9,20,1,7.3,8.4,7.1,8.5
NEUGAL D/S THURAL,"HIMACHAL
PRADESH",14,20,0,7.8,8.6,6.6,8.1
SPITI AT KHAB,"HIMACHAL
PRADESH",9,12,1,9.4,9.9,7,8
"BASPA U/S RESERVOIR BASPA
PROJECT","HIMACHAL
PRADESH",10,12,0,8.9,9.7,6.3,8.2
TONS RIVER,"HIMACHAL
PRADESH",7,20,1,8.7,9.4,7.5,8.6
BATTA U/S PAONTA,"HIMACHAL
PRADESH",13,29,1,6.6,9,7.5,8.5
BATTA B/C TO YAMUNA,"HIMACHAL
PRADESH",15,27,1,6.2,8.9,7.6,8.4
GIRI U/S CCI MINES,"HIMACHAL
PRADESH",13,27,1,6.8,9.2,7.6,8.4
GIRI D/S SATAUN,"HIMACHAL
PRADESH",14,28,0,6.5,8.8,6.8,8.7
PABBAR U/S DHAMBARI,"HIMACHAL
PRADESH",8.5,20,0,8.4,9.5,6.5,8.5
PABBAR U/S ROHRU,"HIMACHAL
PRADESH",8,21,0,8,9.2,6.9,8.4
PABBAR D/S SWARAKUDDU,"HIMACHAL
PRADESH",6,20,1,8.6,9.5,7.1,8.4
"CHUNT KOL (MAULANA AZAD
BRIDGE)","JAMMU &
KASHMIR",6,27,0,2,7.2,7.1,8
"GAWKADAL, SRG (SHERGHARI,
SRG)","JAMMU &
KASHMIR",6,24,1,5.4,8.5,7.4,8.3
JHELAM D/S ANANTNAG,"JAMMU &
KASHMIR",8,14,1,6.4,8.4,7.4,8.1
"JHELAM AT DALAGATE (INLET),
SRINAGAR","JAMMU &
KASHMIR",7,23,1,4.6,8.3,7.4,8.1
"JHELAM AT CHATTABAL WEIR
(OUTLET)","JAMMU &
KASHMIR",7,25,1,5.2,8.5,7.1,8
JHELUM AT VERINAG,"JAMMU &
KASHMIR",7,14,0,7,9,6.5,8.1
"JHELUM AT SANGAM,
CONFLUENCE POINT OF VISHAV
NALLAH","JAMMU &
KASHMIR",8.1,15,1,5.4,9.2,7,8
JHELUM AT AWANTIPORA,"JAMMU &
KASHMIR",8.2,14,1,6.9,9.5,7.4,7.9
JHELUM AT PAMPORE,"JAMMU &
KASHMIR",8.1,15,1,5.6,8.5,7,7.9
"JHELUM ATSPORE, CONFLUENCE
POINT OF WULAR LAKE","JAMMU &
KASHMIR",6,16,1,6.8,8.9,7,7.9
JHELUM D/S ATBARAMULLA,"JAMMU &
KASHMIR",6,16,1,7,8.8,7.2,8
LIDDER NALLAH AT LARIPORA,"JAMMU &
KASHMIR",5.4,8.8,1,8.7,10.1,7.6,8.1
LIDDER NALLAH AT CLUB PARK,"JAMMU &
KASHMIR",5.5,8.9,1,7,9.4,7.4,7.9
LIDDER NALLAH AT BUS ADDA,"JAMMU &
KASHMIR",5.4,8.6,1,7.8,10.1,7.1,8.1
"LIDDER NALLAH AT YANEER, D/S
OF PHALGUM","JAMMU &
KASHMIR",5.3,11,1,5.7,10,7.2,7.9
"LIDDER NALLAH NERA BUMZOO,
ANANTNAG","JAMMU &
KASHMIR",6,12,1,7.8,10.8,7.5,8.5
SINDH U/S SONAMARG,"JAMMU &
KASHMIR",4.5,9,0,8,8.9,7.5,8.3
SINDH D/S SONAMARG,"JAMMU &
KASHMIR",4.5,8,0,8.1,8.7,7.4,8.5
SINDH AT WAIL BRIDGE,"JAMMU &
KASHMIR",4.7,9,0,8,10.9,7.6,8.1
SINDH AT DUDERHAMA,"JAMMU &
KASHMIR",4.9,10,0,8.5,9.7,7.4,8.3
"SINDH AT RANGIL, SRINAGAR","JAMMU &
KASHMIR",4.1,10,0,8.2,10.3,7.8,8.2
"BANGANGA (BATHING GHAT),
KATRA","JAMMU &
KASHMIR",8.9,25,1,5.6,7.6,7.8,8.1
"BANGANGA (IN FRONT OF PONY
SHED NEAR REASI BRIDGE ) KATRA","JAMMU &
KASHMIR",8.8,26,1,5.6,8.1,7.8,8.2
"SAMBA(BELOW NH-1A BRIDGE)
BASANTAR US (R.H.S.)","JAMMU &
KASHMIR",13,29,1,7.2,8.1,7.2,8.3
"SAMBA (AT CHAK MANGA GUJJAR)
BASANTAR D/S (R.H.S)","JAMMU &
KASHMIR",15,29,1,6.5,8.1,7.6,8.1
"CHENAB, L.H.S. (BELOW BRIDGE
CHENAB)","JAMMU &
KASHMIR",9,16,1,6.6,9.2,7.5,8.2
"CHENAB, BLIND CURVE,
SHAMSHAN GHAT","JAMMU &
KASHMIR",9,16,1,7,9.4,7.5,8
"CHENAB, CHADRA GAON VIEW
POINT","JAMMU &
KASHMIR",9,16,1,7.2,9.4,7.3,7.8
"CHENAB, JAI PATAN MANDIR
AFTER MEETING WITH MAIN
DRAIN OF AKHNOOR CITY","JAMMU &
KASHMIR",9,17,1,8,8.2,7.2,7.9
"DEVAK UDHAMPUR(NEAR SHIV
MANDIR), L.H.S.","JAMMU &
KASHMIR",11,27,0,4.2,6.8,7.8,8.1
DEVAK AT UTTERBEHNI.,"JAMMU &
KASHMIR",12,28,0,3.1,8,7.6,8
"TAWI,U/S TAWI BRUDGE, BAGH â€“
E-BAHU LIFTING POINT","JAMMU &
KASHMIR",16,24,1,6.3,8.5,7.5,7.8
"TAWI, BELOW TAWI BRIDGE","JAMMU &
KASHMIR",15,24,1,7.1,7.3,8,8
"TAWI,D/S TAWIBRIDGE ,
BELICHARANA","JAMMU &
KASHMIR",16,24,1,7.8,8.1,7.3,7.8
"U/S TAWI BRIDGE SHEETLI LIFTING,
POINT, , NAGROTA","JAMMU &
KASHMIR",16,24,1,6.5,8.6,7.1,8.1
UJH AT DAM SITE,"JAMMU &
KASHMIR",12,28,1,7.8,9.1,7.1,7.1
GANGA AT RAJMAHAL,JHARKHAND,25,25,1,9,9,6.5,6.5
AJAY AT MASANJORE DAM,JHARKHAND,27,27,1,8.5,8.5,7.4,7.5
"DAMODAR D/S BHAIRABI AT
RAJRAPPA",JHARKHAND,22,34,1,7,8.6,7.2,7.5
"DAMODAR AT RAMGARH ROAD
BRIDGE",JHARKHAND,22,34,1,7.4,8,7.2,7.5
KONAR AT TILAYA DAM,JHARKHAND,20,33,1,7,8.7,6.8,7.5
KONAR AT KONAR DAM,JHARKHAND,21,33,1,7,8.6,6.5,7.8
NALKARI TRIBUTARY AT PATRATU,JHARKHAND,22,34,0,3,4.2,7.3,7.3
DAMODAR AT PHUSRO ROAD BRIDGE,JHARKHAND,26,26,1,7.2,7.2,7.4,7.5
DAMODAR U/S JAMADOVA,JHARKHAND,20,28,1,7.5,7.6,7.5,7.5
DAMODAR D/S SINDRI,JHARKHAND,20,29,1,7.3,7.6,7.5,7.6
DAMODAR AT PANCHET DAM,JHARKHAND,21,26,1,7.5,7.8,7.5,7.6
BARAKAR AT MAITHAN DAM,JHARKHAND,23,28,1,7.4,7.7,7.5,7.5
KONAR AT TENUGHAT DAM,JHARKHAND,27,27,1,7.7,7.7,7.3,7.3
BOKARO AT JARANDI,JHARKHAND,28,28,1,6.7,6.7,7.2,7.4
KARO U/S LOHOJIMI,JHARKHAND,18,35,0,8.1,8.5,6.8,7.5
"KOEL AT BASIA,DAM
U/S,JHARKHAND",JHARKHAND,18,32,1,8,8.6,7.4,7.9
"KOEL AT MANOHARPUR AFTER
MEETING KOINA RIVER D/S,J",JHARKHAND,25,40,0,6.8,8.4,7.3,7.5
NORTH KOEL U/S DALTANGANJ,JHARKHAND,18,38,0,7.4,8.6,7.2,7.5
"NORTH KOEL D/S BCCL, REHLA",JHARKHAND,19,37,0,7.1,8.6,7.2,7.5
SANKH AT BOLBA,JHARKHAND,19,36,0,8.3,8.6,7.2,7.7
"SUBARNAREKHA AT CHANDIL
DAM",JHARKHAND,19,30,1,6.8,8.8,7.4,8.4
"SUBARNAREKHA AT CHANDIL
BRIDGE",JHARKHAND,24,35,1,6.7,8.2,6.5,7.8
"SUBARNAREKHA AT
JAMSHEDPUR",JHARKHAND,22,38,0,5.4,7.2,7.4,8.2
"SUBARNAREKHA AT D/S
JAMSHEDPUR,(TATA
NAGAR),JHARKA",JHARKHAND,26,32,0,3.7,6.5,7.2,7.7
"SUBAREKHA AT GHATISLA ROAD
BRIDGE",JHARKHAND,20,36,0,7,8.2,6.6,7.5
"SUBARNAREKHA AT
RANCHI,(TATISILWAI)
JHARKHAND",JHARKHAND,15,33,1,4.9,7.8,6.4,7.5
"SUBARNAREKHA AT NAMKUM
ROAD BRIDGE",JHARKHAND,17,33,1,5.3,6.9,7.4,7.7
"SUBARNAREKHA AT MURI ROAD
BRIDGE",JHARKHAND,15,35,0,7.2,8.3,7.3,7.9
SUBARNAREKHA AT HATIA DAM,JHARKHAND,17,32,1,8.2,8.5,7.3,7.5
"SUBARNAREKHA AT GATALSUD
DAM",JHARKHAND,15,30,1,8.1,8.6,6.5,7.6
JUMAR AT KANKE DAM,JHARKHAND,17,32,1,5.9,7.2,7.2,8.1
"KRISHNA U/S OF UGARKHURD
BARRAGE",KARNATAKA,23,30,1,6.5,8.4,7.1,8.1
"KRISHNA - ANKALI BRIDGE
ALONG CHIKKODI KAGWAD ROAD",KARNATAKA,23,29,1,5.9,9.2,7.5,8.4
"KRISHNA D/S OF NARAYANPURA
DAM",KARNATAKA,24,41,0,4.8,9.9,7.9,8.7
KRISHNA AT TINTINI BRIDGE,KARNATAKA,26,29,1,7,7.2,7,8.6
"KRISHNAD/S OF DEVASAGAR
BDG.",KARNATAKA,27,32,1,6.8,8.4,7.5,8.4
KRISHNA D/S OF ALAMATTI DAM,KARNATAKA,24,41,0,5.1,9.9,8.3,8.6
"BHIMA D/S OF ROAD BRIDGE AT
GANGAPUR VILLAGE",KARNATAKA,28,29,1,5.9,6.9,7.9,8.5
BHIMA D/S FEROZABAD VILLAGE,KARNATAKA,28,29,1,6,6.9,7.9,8.6
"BHIMA AT CONFLUENCE OF
JEWARGI TOWN SEWAGE
DISPOSAL POINT",KARNATAKA,29,29,1,5.9,6.8,7.8,8.4
"BHIMA D/S OF BDG. NEAR
YADGIR",KARNATAKA,27,33,1,6.5,7.8,7.5,8.3
"GHATPRABHA D/S OF MUDHOL
RD. CROSS BDG",KARNATAKA,23,36,0,5.2,7.9,6.8,7.6
"GHATPRABHA AT W.A. POINT TO
GOKAK TOWN",KARNATAKA,24,29,1,4.4,9,7.1,8.1
"MALPRABHA D/S OF KHANAPUR
VILLAGE",KARNATAKA,22,31,1,6.4,8.9,7.4,8.5
"MALPRABHA AT WATER ABSTR. PT.
TO HUBLI, DHARWAR",KARNATAKA,26,36,0,6.7,10.7,7.4,8.1
"MALPRABHA D/S OF AIHOLE
TOWN",KARNATAKA,23,33,1,5.9,8.9,7.3,7.9
MALPRABHA AT BADAMI BRIDGE,KARNATAKA,24,30,1,6.3,8.9,7.3,7.8
"TUNGHABHADRA AT HONNALI
BRIDGE",KARNATAKA,24,31,1,6,7.6,7.4,8
"TUNGHABHADRA AT HARALAHALLI
BRIDGE",KARNATAKA,6.3,31,1,6.3,8.2,7.4,8.4
TUNGHABHADRA AT ULLANUR,KARNATAKA,24,35,0,6.7,8.2,7.2,7.8
TUNGABHADRA AT NEW BRIDGE,KARNATAKA,24,31,1,6.2,8.4,7.2,7.9
TUNGABHADRA U/S OF HPF,KARNATAKA,24,31,0,6.1,8.3,6.8,8
TUNGABHADRA D/S OF HPF,KARNATAKA,25,33,1,4.6,7.5,7.1,7.9
"TUNGABHADRA AT JACKWELL
POINT",KARNATAKA,25,33,1,4.8,7,7.1,8.2
"TUNGABHADRA AT HARIHAR
WATER SUPPLY INTAKE",KARNATAKA,25,32,1,5.5,8.9,7.1,8.2
TUNGHA D/S OF SHIMOGA TOWN,KARNATAKA,24,33,1,6.1,7.4,7.8,8.4
"KAGINA D/S OF SEWAGE DISPOSAL
POINT",KARNATAKA,25,29,1,5.9,7,7.3,8.2
"CONFLUENCE POINT OF TUNGA
AND BHADRA AT KUDLI",KARNATAKA,23,32,1,6.2,8,7,8.2
"BHADRA D/S MALLESWARAM OF
KIOCL",KARNATAKA,17,29,1,5.2,6.11,7,7.8
BHADRA D/S OF BHADRAVATHI,KARNATAKA,24,33,0,4.9,7.6,6.7,8.2
"BHADRA D/S OF KIOCL ROAD
BRIDGE, NEAR HOLEHUNNUR",KARNATAKA,22,35,0,5.2,8,7,8.2
"BHADRA U/S OF MPM,",KARNATAKA,24,30,1,6,7.9,7,8.1
BHADRA U/S OF KIOCL,KARNATAKA,16,28,1,5.3,6.2,7.9,8.4
KAGINA AT SHAHABAD BRIDGE,KARNATAKA,26,29,1,5.9,7,7.3,8.3
ASANGI NALLA AT ASANGI VILLAGE,KARNATAKA,25,37,0,6,8.1,7.5,8.4
"TUNGABHADRA D/S OF
GANGAWATHI",KARNATAKA,24,35,0,6.6,8,6.9,8.5
CAUVERY D/S NAPOKULU BDG,KARNATAKA,20,32,1,5.7,8,6.8,8.5
"CAUVERY U/SKUSHAL NAGAR
(NEAR BAICHANAHALLI)",KARNATAKA,21,32,1,6.3,8.4,8,8.5
"CAUVERY AT KRS DAM,
BALAMURIKSHETRA",KARNATAKA,23,28,1,5.2,7.8,7.8,8.5
"CAUVERY AT SATHYAGALAM
BRIDGE",KARNATAKA,25,31,1,5.5,8,7.6,8.5
"CAUVERYD/S SRI
RANGAPATTANNA, OF ROAD BDG",KARNATAKA,24,28,1,4.2,7,7.9,8.5
