Station Name,State Name,temp_min,temp_max, bact grow,oxy_min,oxy_max,ph_min,ph_max
HINDON D/S GHAZIABAD,UTTAR PRADESH,16,26,0,0,0,6.7,7.5
"BETWA B/C YAMUNA AT
HAMIRPUR",UTTAR PRADESH,18,34,0,4.8,7.4,7.8,8.4
GOVIND SAGAR,UTTAR PRADESH,19,34,1,5.9,7.2,7.7,8.9
BHAGIRATHI AT GANGOTRI,UTTARAKHAND,5,5,1,9.2,9.2,7.6,7.6
"ALKANANDA B/C MANDAKINI
AT RUDRA PRAYAG",UTTARAKHAND,15,19,1,8.4,9.4,7.5,7.9
"MANDAKINI B/C ALKALNADA
AT RUDRAPRAYAG",UTTARAKHAND,16,18,1,8.6,9.6,7.4,7.9
"ALKANANDA A/C MANDAKINI
AT RUDRAPRAYAG",UTTARAKHAND,16,19,1,8.2,9,7.5,8.1
"ALKANANDA B/C TO
BHAGIRATHI AT DEVPRAYAG",UTTARAKHAND,17,19,1,8.6,9.2,7.5,7.8
"BHAGIRATHI B/C WITH
ALAKNANDA AT DEVPRAYAG",UTTARAKHAND,17,19,1,9,9.6,7.6,7.9
"ALKANANDA A/C WITH
BHAGIRATHI AT DEVPRAYAG",UTTARAKHAND,17,18,1,8.8,9.6,7.5,7.7
GANGA AT RISHIKESH U/S,UTTARAKHAND,16,20,1,9.2,10.6,7.2,7.8
"GANGA A/C OFSONG NEAR
SATYANARAYAN TEMPLE D/S
RAIWALA",UTTARAKHAND,15,21,1,7.6,9.6,7.4,7.7
UPPER GANGA D/S ROORKEE,UTTARAKHAND,15,20,1,8.6,10.6,7.5,7.8
GANGA D/S HARIDWAR,UTTARAKHAND,15,25,0,4,10.6,6.3,7.8
YAMUNA AT YAMUNOTRI,UTTARAKHAND,6,6,0,8.8,8.8,7.5,7.5
"YAMUNA AT
HANUMANCHATTI",UTTARAKHAND,8,8,0,8.6,8.6,7.6,7.6
"YAMUNA U/S OF LAKHWAR
DAM",UTTARAKHAND,19,19,1,8.6,8.6,8.2,8.2
"YAMUNA AT U/S DAK
PATTHAR",UTTARAKHAND,17,20,1,8,8.8,7.6,7.9
GOLA AT HALDWANI,UTTARAKHAND,11,20,1,7,7.8,7.2,7.9
BHALLA U/S KASHIPUR,UTTARAKHAND,18,32,1,5.2,8.2,7.1,7.6
"BHALLA AT LOHIA BRIDGE D/S
KASHIPUR",UTTARAKHAND,23,32,0,0,0.8,6.8,7.6
"DHELA U/S AT KASHIPUR
MORADABAD ROAD BRIDGE",UTTARAKHAND,20,32,0,3.2,8.8,7.3,7.6
"DHELA D/S AT THAKURDWARA
ALIGANJ ROAD",UTTARAKHAND,19,32,0,0,8.2,7.3,8.3
KICHHA AT KICHHA U.S. NAGAR,UTTARAKHAND,20,32,0,3.2,5.2,7.3,7.8
"KOSI AT KASHIPUR BAJPUR ROAD
BRIDGE",UTTARAKHAND,21,32,1,6.2,6.8,7.2,7.6
"NANDAUR U/S SITARGANJ
INDUSTRIAL AREA, US NAGAR",UTTARAKHAND,26,32,0,3.4,7.8,7.1,7.5
"NANDAUR D/S SITARGANJ
INDUSTRIAL AREA, US NAGAR",UTTARAKHAND,27,30,1,5.8,6.8,7.1,7.4
PILKHAR AFTER BILASPUR RAMPUR,UTTARAKHAND,26,32,0,4.8,5.8,7.2,8.5
GANGA AT BAHARAMPORE,WEST BENGAL,19,31,1,5,9.1,7.6,8.3
"NABADIP ON
GANGA,GHOSHPARA NEAR
MONIPURGHAT",WEST BENGAL,18.5,34,0,4.7,9.4,7.3,8.5
"TRIBENI ON GANGA, NEAR
BURNING GHAT",WEST BENGAL,20,35,0,5.1,9.6,7.3,8.5
GANGA AT PALTA,WEST BENGAL,22,33,0,4.7,9.4,7.1,8.3
GANGA AT SERAMPORE,WEST BENGAL,19,34,0,4.6,8.9,7.1,8.3
GANGA AT DAKSHINESHWAR,WEST BENGAL,22,35,0,3.8,8.2,7.6,8.2
GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,21,34,0,3.7,8.5,7.6,8.2
GANGA AT GARDEN REACH,WEST BENGAL,22,36,0,3.1,8.6,7.6,8.3
GANGA AT ULUBERIA,WEST BENGAL,20,32,0,2.5,7.1,7.3,8.2
"GANGA AT DIAMOND
HARBOUR",WEST BENGAL,22,33,0,4.4,7.4,7.8,8.4
"KALJANI D/S OF ALIPURDWAR,
MUNICIPALITY DISCHARGE POINT",WEST BENGAL,20,32,1,6,8.3,7.2,8.1
"DAMODAR AT DISHERGARH
VILL.(NR.BIHAR-WEST BENGAL
BORDER)",WEST BENGAL,20,31,1,6.3,12,7.4,8.1
"DAMODAR AT D/S OF IISCO AFTER
3RD OUTFALL AT DHENNA VILLAGE",WEST BENGAL,21,32,1,6.6,12,7.1,8.3
"DAMODAR AT NARAINPUR A/C OF
NUNIA NALLAH",WEST BENGAL,22,34,0,4.7,15,7.1,8.4
"DAMODAR NEAR MUJHER MANA
VILLAGE A/C OF TAMLA NALLAH",WEST BENGAL,21,34,0,4.9,8.7,7.1,8.4
"HOOGHLY, DURGACHAK, NEAR
PATHIKALI",WEST BENGAL,23,32,1,5.4,8.1,7.5,8.2
"DAMODAR,WATER INTAKE POINT
FOR BURDWAN TOWN",WEST BENGAL,21,36,1,6.5,11.3,7.4,8.3
"BARAKAR AT ASANSOL (WATER
INTAKE POINT)",WEST BENGAL,21,31,1,6,11.8,7.2,8.2
"RUPNARAYAN , D/S AT KOLAGHAT,
NEAR KOLAGHAT RAIL BRIDGE NO.3",WEST BENGAL,22,34,1,5.7,7.9,7.5,8.2
"RUPNARAYAN B/C TO RIVER GANGA
NEAR GEONKHALI",WEST BENGAL,21,32,1,4.8,8.5,7.8,8.5
"DWARAKESHWAR WATER INTAKE
POINT FOR BANKURA TOWN",WEST BENGAL,22,33,1,6,9.5,7.2,8.3
"DWARKA, U/S OF TARAPITH AT
SADHAK BAMDEB GHAT",WEST BENGAL,19,36,0,3,12.4,6.8,8.7
"DWARKA , D/S OF TARAPITH, AT
SATIGHAT",WEST BENGAL,19,37,0,4.8,12.2,6.7,8.8
"SILABATI, D/S AT GHATAL",WEST BENGAL,22,36,0,4.7,8.3,6.9,8.1
"JALANGI, D/S OF KRISHNA NAGAR",WEST BENGAL,21,34,0,1.6,9.8,7.1,8.3
CHURNI D/S OF SANTIPUR TOWN,WEST BENGAL,22,34,0,1.8,7.3,7.1,8.1
"CHURNI, MAJHADIA",WEST BENGAL,22,32,0,0.2,6.8,7.2,8.3
"MATHA BHANGA, GOBINDAPUR",WEST BENGAL,22,32,0,0.4,6.3,7.3,8.1
"MAYURAKSHI, WATER INTAKE POINT
FOR SURI TOWN",WEST BENGAL,20,33,1,5.1,10.2,6.9,8.2
"KANSI, D/S MIDNAPORE, NEAR NEW
HANUMAN MANDIR, GANDHIGHAT",WEST BENGAL,24,36,0,5.6,11.2,6.8,9
MAHANANDA AT SILIGURI,WEST BENGAL,14,30,0,3.3,8.7,6.5,7.9
"MAHANANDA D/S, RAMGHAT",WEST BENGAL,12,34,0,1.2,6.2,6.8,7.8
"VINDYADHARI, U/S HAROA BRIDGE",WEST BENGAL,21,33,0,0.4,2.2,7.5,8
"VINDYADHARI D/S MALANCHA
BURNING GHAT",WEST BENGAL,21,39,0,0.6,4.1,7.4,8
"KAROLA, D/S OF JALPAIGURI, NEAR
MIN BHAWAN",WEST BENGAL,20,34,1,4.1,8.4,6.7,7.8
TEESTA AT SILIGURI,WEST BENGAL,11,26,1,5.6,8.7,6.8,8
MAHANADI AT SIHAWA,CHHATTISGARH,24,28,1,6.2,6.8,7.5,7.7
"MAHANADI U/S RUDRI
DHAMTORI RESERVOIR",CHHATTISGARH,24,28,1,7.2,7.4,7.7,7.9
MAHANADI U/S OF RAJIM,CHHATTISGARH,24,32,0,6.1,7.7,5.6,7.6
"MAHANADI AT ARRANG, RAIPUR",CHHATTISGARH,25,28,1,7.2,7.7,7.4,7.9
MAHANADI AT KHARAD,CHHATTISGARH,21,36,1,5.5,7.9,7.4,8.5
"MAHANADI AT SHEORINARAYAN
VILLAGE",CHHATTISGARH,29,36,0,6,7,7.5,9
MAHANADI A/C WITH MAND,CHHATTISGARH,21,36,0,6,7.6,7.3,10
"MAHANADI AT INTERSTATE
BOUNDRY",CHHATTISGARH,19,28,1,6.8,7.4,7.2,7.5
"HASDEO 100 METER D/S A/C OF
DENGUR NALLAH NERA C.S.E.B.
EAST GUEST HOUSE, KORBA",CHHATTISGARH,25,26,1,4.6,5.8,7.1,7.2
"HASDEO D/S NEAR URGA VILLAGE
KORBA",CHHATTISGARH,25,26,1,4.2,5.2,7.2,7.2
HASDEO U/S KORBA,CHHATTISGARH,25,27,1,5.4,7.5,7.1,7.2
HASDEO U/S OF CHAMPA,CHHATTISGARH,21,37,0,6.2,8.2,7.5,8.5
"KHAROON BUNDRI, RAIPUR",CHHATTISGARH,24,27,1,6.2,7.4,7.2,7.8
ARPA D/S OF BILASPUR,CHHATTISGARH,27,27,1,7.3,7.3,8,8
KELO U/S OF RAIGARH,CHHATTISGARH,19,28,1,6.7,7.3,7.2,7.5
KELO D/S OF RAIGARH,CHHATTISGARH,19,28,1,6.5,7.3,7.3,7.7
SEONATH U/S RAJNANDGAON,CHHATTISGARH,32,32,1,6.8,7.6,7.4,7.6
"SEONATH AT SHIMGA A/C. WITH
R. KHAROON",CHHATTISGARH,26,29,1,7.4,7.8,7.5,7.8
"SHEONATH AT RAJNANDGAON,
D/S AT MOHAD, RAJNANDGAON",CHHATTISGARH,23,32,1,6.7,7.6,7.3,7.6
"INDRAVATI A/C DANTEWADA
NELSONNAR, DANTEWADA",CHHATTISGARH,18,27,1,7.6,7.8,7.6,7.9
"SHANKNI A/C DANKANI
DANTEWADA",CHHATTISGARH,18,27,1,7.3,7.9,7.5,7.8
"BRAHAMPUTRA AT KHERGHAT
(A/C WITH DIBANG & DIHANG)",ASSAM,19,28,0,5.8,9,6.8,8.2
BRAHAMPUTRA AT DIBRUGARH,ASSAM,18,30,1,6.1,10.5,7.2,8.2
BRAHAMPUTRA AT NIMATIGHAT,ASSAM,14,28,1,5.3,7.8,7.1,8
"BRAHMPUTRA AT
DHENUKHAPAHAR",ASSAM,19,26,1,6.3,8.4,6.9,8
BRAHAMPUTRA AT PANDU,ASSAM,20,32,1,6.4,7.6,7.1,8.1
BRAHMAPUTRA AT DHUBRI,ASSAM,21,31,1,4.7,6.6,6.9,7.9
"BRAHAMPUTRA AT JOGIJHOGA
NEAR BRIDGE",ASSAM,21,32,1,5.2,6.3,7.2,8.3
"BRAHMPUTRA NEAR WATER
INTAKE POINT AT KACHARIGHAT,
PANBAZAR, GUWAHATI",ASSAM,20,28,1,6.2,8.2,7.1,8.4
"BRAHMAPUTRA RIVER AT
CHANDRAPUR, GUWAHATI",ASSAM,21,29,1,5.9,8,6.5,8.1
"BRAHMPUTRA RIVER AT
SUALKUCHI, DIST. KAMRUP",ASSAM,21,34,1,4.9,8.1,7.2,8.4
"KATHAKAL, U/S AT MATIJURI,
DIST. HAILAKANDI",ASSAM,21,27,1,5.4,5.9,6.8,8.3
DHANSIRI AT GOLAGHAT,ASSAM,18,28,1,5.3,8.4,6.8,8.4
BARAK D/S OF SILCHAR,ASSAM,24,29,1,5.5,5.9,6.8,7.8
"BEKI AT NH-37 CROSSING AT
BARPETA ROAD",ASSAM,20,30,1,5,6,7.3,8.3
BHARALU AT GUWAHATI,ASSAM,20,32,0,0,0.3,6.9,7.6
BHOGDOI AT JORHAT,ASSAM,17,31,1,4.5,6.2,6.7,8
"BOGINADI NEAR BRIDGE NH-52,
LAKHIMPUR",ASSAM,12,32,1,6.8,8.6,7,8.2
BORAK AT PANCHAGRAM,ASSAM,20,27,1,5.5,5.9,6.8,8
BURHIDIHING AT MARGHERITA,ASSAM,19,31,1,4.2,9.5,6.8,7.9
"BURHIDIHING AT DULIAJAN
(INTAKE POINT OF OIL INDIA LTD.)",ASSAM,18,29,1,4.5,8.4,6.8,8.1
"BURIDIHING D/S NEAR DULIAJAN
TINSUKIA",ASSAM,18,31,1,6.1,9.2,7.1,8.1
DEEPAR BEEL,ASSAM,22,33,0,3.1,12.2,6.8,8.2
"DIGBOI AT LAKHIPATHE, RESERVE
FOREST, DIGBOI",ASSAM,18,30,0,3,7.6,6.4,10
"DIKHOW AT DIKHOW BRIDGE
SIVASAGAR",ASSAM,18,30,1,4.9,7.9,6.6,7.8
DISANG AT GUNDAMGHAT,ASSAM,17,30,0,4.8,6.7,6.2,7.9
"DISANG AT DILLIGHAT,
DIBRUGARH DIST",ASSAM,19,28,0,3.4,8,6.8,8.3
"JAI BHARALI NEAR BISWANATH
CHARALI, SONITPUR",ASSAM,15,30,1,6.5,8.8,7,8.2
JHANJI AT N.H. CROSSING JORHAT,ASSAM,17,30,1,4.8,7.5,6.4,8.1
"KALONG AT U/S OF ANANDARAM
DEKIAL PHUKAN BRIDGE, NAGAON",ASSAM,21,32,0,3.6,6.7,6.4,7.7
"KAPILI AT DHARMTUL BRIDGE, NH-
31, NAGAON",ASSAM,20,33,0,5,8.3,6.3,7.9
"KHARSANG B/C WITH BURIDIHING
NEAR KHARSANG (ASSAM-
ARUNANCHAL BORDER)",ASSAM,19,30,1,5.5,7.9,6.6,8.3
"KOHORA AT N.H. CROSSING,
KOHORA",ASSAM,19,29,0,3.9,9.1,6.3,8.2
KOLONG AT MARIGAON,ASSAM,20,37,0,4.6,7.7,6.6,8.4
"KUNDLI AT KUNDLI/ SAPAKHOWA,
SADIA",ASSAM,18,28,1,6.1,8.5,7.1,8.4
KUSHIARA AT KARIMGANJ,ASSAM,21,27,1,5.5,6,6.6,7.9
"MANAS AT NH-31 CROSSING,
BARPETA, DISTRICT",ASSAM,22,31,1,5.6,6.1,7.5,8.5
MORA BHARALI AT TEZPUR,ASSAM,19,30,1,6.5,9,6.5,8.2
"PAGLDIA NEAR NALBARI TOWN,
DIST. NALBARI",ASSAM,21,35,1,5.6,8.1,7.5,8.8
"PANCHNAI AT NH-52 CROSSING,
ORANG",ASSAM,16,27,1,6.5,8.7,7,8.3
"RANGA NADI D/S OF HYDEL
PROJECT",ASSAM,14,30,1,6.6,8.4,6.9,8.4
SANKOSH DHUBRI,ASSAM,21,32,0,4.3,6,6.7,7.9
SONAI RIVER AT SONAI,ASSAM,24,29,1,5.5,6.1,6.8,7.9
"SUBANSIRI AT GEREKAMUKH, B/C
WITH BRAHMAPUTRA",ASSAM,11,28,1,7.3,9.7,7,8.3
GODAVARI U/S RAJAHMUNDRY,ANDHRA PRADESH,25,28,1,5.6,6.6,6.7,7.9
"KRISHNA A/C WITH
TUNGABHADRA,
SANGAMESHWARAM",ANDHRA PRADESH,22,25,1,4.9,6.6,7.8,8.2
"VEDADRI , GUNTUR DIST",ANDHRA PRADESH,24,29,0,5.8,7.1,6.5,8.6
"AMARAVATI , GUNTUR DIST",ANDHRA PRADESH,18,22,0,5.8,7.1,6.2,8.3
KRISHNA AT VIJAYWADA,ANDHRA PRADESH,22,28,1,6.2,7.2,6.7,8.1
"HAMSALA DEEVI , GUNTUR DIST",ANDHRA PRADESH,22,28,1,4.2,5.9,7.1,7.9
"KRISHNA D/S OF SRISHAILAM,
KURNOOL",ANDHRA PRADESH,24,29,1,5.1,6.5,7.7,8.2
"MANTHRALAYAM , KURNOOL DIST",ANDHRA PRADESH,23,28,1,5.6,6.4,7.8,8.3
"TUNGHABHADRA U/S KURNOOL,
BAVAPURAM",ANDHRA PRADESH,23,28,1,5.4,6.2,7.8,8.2
"PALLERU B/C. WITH KRISHNA,
JAGGAYYAPET",ANDHRA PRADESH,24,27,1,6.4,7.1,6.5,8.1
"HUNDRI, JOHARPUR(V), NEAR
TEMPLE, KURNOOL",ANDHRA PRADESH,22,29,0,1.7,2.3,7.7,8.1
"PENNAR B/CWITH CHITRAVATHI,
TADPATRI, UNGANOOR",ANDHRA PRADESH,22,27,0,3.9,4.8,7.9,8.1
"PENNAR A/C WITH PAPAGNI,
PUSPAGINI",ANDHRA PRADESH,27,32,0,3.6,6.6,7.6,8.3
"PENNAR A/C WITH CHEYYURU,
SOMASILE",ANDHRA PRADESH,26,28,0,5.9,7.1,6.4,8.4
"PENNAR SIDDVATA, NELLORE",ANDHRA PRADESH,26,32,0,3.7,6.5,7.4,8.2
"KUNDU, NANDYAL, NEAR OVER
BDG., KURNOOL",ANDHRA PRADESH,22,29,0,3.7,5.9,7.8,8.2
GANGA AT BUXAR,BIHAR,22,33,1,6,9,7.5,8.2
"GANGA AT BUXAR,
RAMREKHAGHAT",BIHAR,22,32,0,5.5,8.8,7.4,8.3
"GANGA U/S KHURJI, PATNA",BIHAR,21,31,1,7.2,8.6,7.2,8.3
"GANGA AT CONFLUENCE OF
SONE DORIGANJ, CHAPRA",BIHAR,19,30,1,7,9.6,7.7,8.4
"GANGA DARBHANGA GHAT AT
PATNA",BIHAR,16,30,1,6.5,8.6,7.4,8.3
"GANGA D/S PATNA (GANGA
BRIDGE)",BIHAR,17,30,1,6.2,8.6,7.4,8.3
"GANGA AT PUNPUN, PATNA",BIHAR,18,30,1,6.5,8.3,7.2,8.3
GANGA AT FATUHA,BIHAR,18,32,1,6.8,8.4,7.2,8.2
GANGA U/S MOKAMA,BIHAR,17,29,1,7.6,9.8,7.8,8.6
GANGA D/S MOKAMA,BIHAR,17,29,1,7.5,9.6,7.7,8
GANGA AT MUNGER,BIHAR,16,29,1,6.9,9.7,7.6,7.9
"GANGA AT SULTANGANJ,
BHAGALPUR",BIHAR,14.5,26,1,7.1,9.6,7.8,8.1
GANGA AT BHAGALPUR,BIHAR,16,28,1,6.9,9.4,7.6,8.1
GANGA AT KAHALGAON,BIHAR,14,28,1,7.2,9.6,7.8,8.1
"GANGA AT D/S BUXAR NEAR
GANGA BRIDGE",BIHAR,22,32,0,5.2,8.8,7.5,8.1
"GANGA NEAR DANAPUR (NEAR
PIPA PUL)",BIHAR,21,35,1,7.5,8.8,7.1,8.3
GANGA AT BARH,BIHAR,18,28,1,7.6,9.8,7.8,8.1
"GANGA AT U/S MUNGER (NEAR
INTAKE WELL ON GANGA)",BIHAR,16,30,1,7.1,9.8,7.8,8.1
GANGA AT U/S SULATANGANJ,BIHAR,14,29,1,7.1,9.6,7.7,8.1
GANGA AT U/S BHAGALPUR,BIHAR,14.5,26,1,7.1,9.6,7.8,8.1
"GANGA AT MALSALAMI, PATNA",BIHAR,19,34,1,6.5,8.6,7.4,8.3
GANGA AT BARAHIA,BIHAR,14,30,1,7.6,9.7,7.8,8.1
GHAGHARA NEAR CHAPRA,BIHAR,17,30,1,6.8,9.8,7.1,8.5
SONE AT KOELWAR,BIHAR,22,31,1,5,8.8,7.1,8.3
"GANDAK B/C AT SONEPUR,
PATNA",BIHAR,17,30,1,7.2,9.8,7,8.6
"GANDAK AT REWAGHAT,
MUJAFFARPUR",BIHAR,16,30,1,7,9.5,7,8.2
"GANDAK AT SAMASTIPUR
ROAD BRIDGE",BIHAR,20,34,1,7.6,9.4,7.3,8.9
"SIKRAHNA AT LAL PARSE,
BITTIAH",BIHAR,17,36,1,6.2,8.6,7.2,8.5
SIKRANA AT CHANPATIYA,BIHAR,16,30,1,6,8.6,7.4,8.2
"BURHI GANDAK AT
AKHARAGHAT, MUZAFFARPUR",BIHAR,17,33,1,6.6,9,7.3,8.8
HARBORA AT NARKATIAGANJ,BIHAR,17,30,1,6.5,8.2,6.5,7.9
"KAMALA AT BENIPATTI
(MADHUBANI)",BIHAR,15,30,1,7.4,10,7.6,8.9
KAMALA AT DARBHANGA,BIHAR,17,30,1,7,8.6,7.3,8.2
"MANUSMARAT RIGA,
SITAMARHI",BIHAR,18,32,1,6.7,8,6.8,8.2
"KOSHI AT KURSHELA AT
KATIHAR",BIHAR,14,31,1,6.3,9.1,6.6,7.6
KOSHI AT MADHEPURA,BIHAR,14,35,1,6.2,9,7.2,7.6
DAHA AT SIWAN,BIHAR,15,30,1,5,9.8,7.1,8.4
DAHA D/S SASAMUSA,BIHAR,16,30,1,6,9.5,7,7.8
"DAHA AT ITWA BRIDGE,
SIWAN",BIHAR,15,29,1,6.9,9.2,7.2,8.4
DHOUS AT MADHUBANI,BIHAR,18,30,1,6,9.4,7.3,8.9
FARMAR AT JOGBANI,BIHAR,14,29,1,5.6,8.6,6.6,7.6
RAM REKHAAT HARINAGAR,BIHAR,16,32,1,6.4,7.6,6.9,7.9
SIRSA AT RUXOL,BIHAR,16,33,1,6.4,6.4,7,7.7
SONE NEAR BANZARI,BIHAR,16,34,1,7.2,9.2,7.2,8.6
SONE RIVER AT BAHIYARA,BIHAR,22,30,1,5.2,9,7.5,8.2
"SONE RIVER AT NASIRIGANJ
DAM",BIHAR,18,33,1,7.1,9.6,7.4,8.5
"BAGMATI AT MUZAFFARPUR-
SITAMARHI ROAD BRIDGE",BIHAR,16,35,1,7.2,8.8,6.9,8.2
"BAGMATI AT DARBANGA,
SAMASTIPUR ROAD BRIDGE",BIHAR,20,34,1,7.4,9.1,7.4,8.8
DAHA AT MEERGANJ,BIHAR,15,30,1,6.5,9.6,7.5,8.2
"GANDAK U/S ROAD BRIDGE
MUZAFFARPUR (NH)",BIHAR,17,33,1,7.5,8.8,7.2,8.4
"GANDAK GOPALGANJ PIPRAKOTHI
ROAD BRIDGE (DUMARIA GHAT)",BIHAR,17,30,1,7,9.8,7.3,8.6
"U/S HARBORA BEFORE SUGAR MILL
NEAR ROAD BRIDGE NARKATIGANJ",BIHAR,16,30,1,7.2,8.6,7.1,8.3
"KAMALA AT JAYNAGAR,",BIHAR,20,29,1,7.5,10,7.7,8.5
KOSHI AT BEERPUR,BIHAR,14,35,0,6.6,8.9,7.2,7.8
"U/S MANUSMAR RIVER AT BAKHARI
RIGA",BIHAR,15,32,1,7,8.6,7,8.6
"POONPUN NEAR POONPUN RAIL
BRIDGE",BIHAR,12,30,1,6.5,9.6,7,8.6
"POONPUN NEAR KINZER ROAD
BRIDGE",BIHAR,14,32,1,6.5,10,7.1,8.5
RAMREKHA U/S HARINAGAR,BIHAR,16,32,1,6.9,8,7.1,7.9
"SIKRAHNA AT LAUREA, HARINAGAR
ROAD BRIDGE",BIHAR,17,36,0,7,8.6,7.2,7.8
SIRSA D/S RAXAUL (KOERIA TOLA),BIHAR,16,36,0,2.8,6.3,7.2,7.8
"MAHANANDA AT THAKURGANJ,
KISHANGANJ ROAD BRIDGE",BIHAR,14,28,1,6.1,8.5,6.5,7.6